OBJECTID,YeshuvName,Dunam,AnafName,AnafSub,GrowthEng,CoverTypeE,kWh/kPW,Muni_Eng,Machoz,area_sqm (GIS),Energy production (tracking) mln kWh/year,Energy production (fix) mln kWh/year,Energy production (tracking) mln kWh/year,Energy production (fix) mln kWh/year,Potential revenue fron energy production (tracking) mln NIS,Potential revenue fron energy production (fix) mln NIS,Feasability to install PVs?,Average influence of PV on crops,Average KG per dunham,"Average price per KG, NIS","Potential revenue from crops before PV, mln NIS","Potential revenue from crops after PV, mln NIS",Added value on income from crops after PV (mln NIS),"Total revenue, mln NIS","added value from PV, mln NIS"
679,אדירים,24.80,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1745,Hagilbo'a,North,24815.30,3.77,2.55,3.765012,2.553284,1.1295036,0.7659852,1,1,2000,5,0.248,0.248,0,0.45519408,0.20719408
759,אדמית,17.50,plantations,general plantation,Plantations,Open Area,1715,Ma'te Asher,North,17502.40,2.61,1.77,2.6110875,1.7707375,0.78332625,0.53122125,1,1,1000,5,0.0875,0.0875,0,0.2649885,0.1774885
980,אודם,6.10,plantations,general plantation,Plantations,Open Area,1795,Golan,North,6126.69,0.96,0.65,0.9526065,0.6460205,0.28578195,0.19380615,1,1,1000,5,0.0305,0.0305,0,0.09582246,0.06532246
780,אודם,4.10,plantations,olives,Plantations,Open Area,1745,Golan,North,4064.47,0.62,0.42,0.6224415,0.4221155,0.18673245,0.12663465,1,1,1000,8,0.0328,0.0328,0,0.07033386,0.03753386
913,אודם,7.60,plantations,vineyard,Plantations,Open Area,1825,Golan,North,7580.90,1.20,0.82,1.20669,0.81833,0.362007,0.245499,1,1,1000,20,0.152,0.152,0,0.1893996,0.0373996
719,אוהד,17.30,field crops,field crops general,Vegetables & field crops in uncovered area,Open Area,1825,Eshkol,South,17336.70,2.75,1.87,2.7468075,1.8627775,0.82404225,0.55883325,1,1.04,2000,2,0.0692,0.071968,0.002768,0.2667141,0.1947461
599,אוהד,2.30,flowers,flowers nursery,Flowers,Tunnels,1825,Eshkol,South,2310.19,0.37,0.25,0.3651825,0.2476525,0.10955475,0.07429575,1,1.05,500,20,0.023,0.02415,0.00115,0.0442083,0.0200583
838,אוהד,134.50,citrus,peelables,Citrus,Open Area,1825,Eshkol,South,134492.00,21.35,14.48,21.3552375,14.4822875,6.40657125,4.34468625,1,1.03,4000,6,3.228,3.32484,0.09684,3.7327785,0.4079385
275,אוהד,3.80,vegetables,tomatoes,Vegetables in covered area,Greenhouse,1825,Eshkol,South,3761.08,0.60,0.4,0.603345,0.409165,0.1810035,0.1227495,1,1.1,2000,6,0.0456,0.05016,0.00456,0.0791958,0.0290358
100,אום אל-פחם,0.81,plantations,olives,Plantations,Open Area,1735,Um al Fahem,Haifa,806.33,0.12,0.08,0.121706143,0.08253635,0.036511843,0.024760905,1,1,1000,8,0.006450357,0.006450357,0,0.013774576,0.007324219
160,אום אל-פחם,7.50,plantations,olives,Plantations,Open Area,1745,Um al Fahem,Haifa,7452.75,1.13,0.77,1.1386125,0.7721625,0.34158375,0.23164875,1,1,1000,8,0.06,0.06,0,0.1286595,0.0686595
805,אום בטין,2.90,plantations,olives,Plantations,Open Area,1835,al Kasum,South,2866.06,0.46,0.31,0.4629705,0.3139685,0.13889115,0.09419055,1,1,1000,8,0.0232,0.0232,0,0.05159622,0.02839622
876,אומן,28.50,vegetables,periodic spices and herbs,Vegetables & field crops in uncovered area,Open Area,1745,Hagilbo'a,North,28502.20,4.33,2.93,4.3267275,2.9342175,1.29801825,0.88026525,1,1.1,2000,3,0.171,0.1881,0.0171,0.4649661,0.2768661
290,אור הנר,92.70,field crops,field crops general,Vegetables & field crops in uncovered area,Open Area,1805,Sha'ar Hanegev,South,92654.10,14.55,9.87,14.5571445,9.8720865,4.36714335,2.96162595,1,1.04,2000,2,0.3708,0.385632,0.014832,1.41602958,1.03039758
474,אור הנר,10.70,citrus,orange-like,Citrus,Open Area,1805,Sha'ar Hanegev,South,10671.50,1.68,1.14,1.6802745,1.1394965,0.50408235,0.34184895,1,1.03,4000,4,0.1712,0.176336,0.005136,0.24254118,0.06620518
923,אור יהודה,27.91,vegetables,general vegetables,Vegetables & field crops in uncovered area,Open Area,1775,Or Yehuda,Tel Aviv,27910.40,4.31,2.92,4.310014611,2.922883471,1.293004383,0.876865041,1,1.1,2000,5,0.279100833,0.307010916,0.027910083,0.534952566,0.22794165
18,אורטל,32.70,plantations,deciduous,Plantations,Open Area,1785,Golan,North,32660.20,5.07,3.44,5.0781465,3.4438005,1.52344395,1.03314015,1,1,1000,8,0.2616,0.2616,0,0.57021606,0.30861606
960,אורטל,12.90,plantations,deciduous,Plantations,Open Area,1775,Golan,North,12934.70,2.00,1.35,1.9920825,1.3509525,0.59762475,0.40528575,1,1,1000,8,0.1032,0.1032,0,0.2240343,0.1208343
982,אורטל,4.80,plantations,deciduous,Plantations and Citrus in covered area,Net House,1785,Golan,North,4807.77,0.75,0.51,0.745416,0.505512,0.2236248,0.1516536,1,1,1000,8,0.0384,0.0384,0,0.08370144,0.04530144
878,אזור אשדוד מא 33,9.20,citrus,peelables,Citrus,Open Area,1815,Be'er Tuvya,South,9201.39,1.45,0.99,1.452726,0.985182,0.4358178,0.2955546,1,1.03,4000,6,0.2208,0.227424,0.006624,0.25467624,0.02725224
639,אזור אשקלון מא 36,48.90,plantations,deciduous,Plantations and Citrus in covered area,Net Cover,1805,Hof Ashkelon,South,48883.50,7.68,5.21,7.6790115,5.2076055,2.30370345,1.56228165,1,1,1000,8,0.3912,0.3912,0,0.85963266,0.46843266
675,אזור באר שבע מא 41,3.10,plantations,olives,Plantations,Open Area,1835,Bnei Shim'on,South,3098.14,0.49,0.34,0.4948995,0.3356215,0.14846985,0.10068645,1,1,1000,8,0.0248,0.0248,0,0.05515458,0.03035458
23,אזור באר שבע מא 41,1.40,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1835,Lakiye,South,1417.79,0.23,0.15,0.223503,0.151571,0.0670509,0.0454713,1,1,2000,5,0.014,0.014,0,0.02658852,0.01258852
90,אזור באר שבע מא 41,3.10,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1855,Bnei Shim'on,South,3124.76,0.50,0.34,0.5002935,0.3392795,0.15008805,0.10178385,1,1,2000,5,0.031,0.031,0,0.05931354,0.02831354
941,אזור באר שבע מא 41,28.00,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1845,Bnei Shim'on,South,27996.40,4.49,3.05,4.49442,3.04794,1.348326,0.914382,1,1,2000,5,0.28,0.28,0,0.5337528,0.2537528
732,אזור באר שבע מא 51,51.70,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1895,Tamar,South,51653.70,8.52,5.78,8.5235205,5.7803185,2.55705615,1.73409555,1,1,2000,5,0.517,0.517,0,1.00383822,0.48683822
277,אזור באר שבע שלש,1.70,plantations,general plantation,Plantations,Open Area,1865,No Jurisdiction - Sayig Area,South,1732.25,0.28,0.19,0.2758335,0.1870595,0.08275005,0.05611785,1,1,1000,5,0.0085,0.0085,0,0.02754714,0.01904714
429,אזור באר שבע שלש,1.30,plantations,general plantation,Plantations,Open Area,1895,No Jurisdiction - Sayig Area,South,1276.52,0.21,0.14,0.2143245,0.1453465,0.06429735,0.04360395,1,1,1000,5,0.0065,0.0065,0,0.02134158,0.01484158
889,אזור באר שבע שלש,2.90,plantations,general plantation,Plantations,Open Area,1855,Bnei Shim'on,South,2867.76,0.46,0.31,0.4680165,0.3173905,0.14040495,0.09521715,1,1,1000,5,0.0145,0.0145,0,0.04678686,0.03228686
102,אזור באר שבע שלש,1.80,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1895,No Jurisdiction - Sayig Area,South,1801.22,0.30,0.2,0.296757,0.201249,0.0890271,0.0603747,1,1,2000,5,0.018,0.018,0,0.03494988,0.01694988
181,אזור באר שבע שלש,19.10,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1855,No Jurisdiction - Sayig Area,South,19074.40,3.08,2.09,3.0824535,2.0903995,0.92473605,0.62711985,1,1,2000,5,0.191,0.191,0,0.36544794,0.17444794
213,אזור באר שבע שלש,79.50,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1865,No Jurisdiction - Sayig Area,South,79505.30,12.90,8.75,12.8992725,8.7477825,3.86978175,2.62433475,1,1,2000,5,0.795,0.795,0,1.5267339,0.7317339
245,אזור באר שבע שלש,56.60,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1875,No Jurisdiction - Sayig Area,South,56638.50,9.24,6.27,9.232875,6.261375,2.7698625,1.8784125,1,1,2000,5,0.566,0.566,0,1.090965,0.524965
267,אזור באר שבע שלש,1.80,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1885,No Jurisdiction - Sayig Area,South,1750.67,0.29,0.19,0.295191,0.200187,0.0885573,0.0600561,1,1,2000,5,0.018,0.018,0,0.03482244,0.01682244
305,אזור באר שבע שלש,76.90,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1855,No Jurisdiction - Sayig Area,South,76913.20,12.41,8.42,12.4105065,8.4163205,3.72315195,2.52489615,1,1,2000,5,0.769,0.769,0,1.47135846,0.70235846
402,אזור באר שבע שלש,4.90,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1885,Tamar,South,4898.42,0.80,0.54,0.8035755,0.5449535,0.24107265,0.16348605,1,1,2000,5,0.049,0.049,0,0.09479442,0.04579442
449,אזור באר שבע שלש,35.10,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1865,No Jurisdiction - Sayig Area,South,35091.20,5.69,3.86,5.6951505,3.8622285,1.70854515,1.15866855,1,1,2000,5,0.351,0.351,0,0.67406742,0.32306742
457,אזור באר שבע שלש,30.60,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1865,No Jurisdiction - Sayig Area,South,30649.00,4.97,3.37,4.965003,3.367071,1.4895009,1.0101213,1,1,2000,5,0.306,0.306,0,0.58764852,0.28164852
477,אזור באר שבע שלש,1.10,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1875,No Jurisdiction - Sayig Area,South,1105.77,0.18,0.12,0.1794375,0.1216875,0.05383125,0.03650625,1,1,2000,5,0.011,0.011,0,0.0212025,0.0102025
590,אזור באר שבע שלש,150.20,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1855,No Jurisdiction - Sayig Area,South,150217.00,24.24,16.44,24.240027,16.438639,7.2720081,4.9315917,1,1,2000,5,1.502,1.502,0,2.87383668,1.37183668
686,אזור באר שבע שלש,53.30,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1865,No Jurisdiction - Sayig Area,South,53344.30,8.66,5.87,8.6481915,5.8648655,2.59445745,1.75945965,1,1,2000,5,0.533,0.533,0,1.02358386,0.49058386
749,אזור באר שבע שלש,101.00,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1895,No Jurisdiction - Sayig Area,South,100984.00,16.65,11.29,16.651365,11.292305,4.9954095,3.3876915,1,1,2000,5,1.01,1.01,0,1.9610766,0.9510766
773,אזור באר שבע שלש,44.40,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1925,No Jurisdiction - Sayig Area,South,44427.20,7.44,5.05,7.43589,5.04273,2.230767,1.512819,1,1,2000,5,0.444,0.444,0,0.8715276,0.4275276
806,אזור באר שבע שלש,1.50,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1845,No Jurisdiction - Sayig Area,South,1478.03,0.24,0.16,0.2407725,0.1632825,0.07223175,0.04898475,1,1,2000,5,0.015,0.015,0,0.0285939,0.0135939
925,אזור באר שבע שלש,1.50,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1885,No Jurisdiction - Sayig Area,South,1533.49,0.25,0.17,0.2459925,0.1668225,0.07379775,0.05004675,1,1,2000,5,0.015,0.015,0,0.0290187,0.0140187
968,אזור באר שבע שלש,130.50,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1865,No Jurisdiction - Sayig Area,South,130498.00,21.17,14.36,21.1742775,14.3595675,6.35228325,4.30787025,1,1,2000,5,1.305,1.305,0,2.5061481,1.2011481
101,אזור בשור מא 38,307.70,field crops,field crops general,Vegetables & field crops in uncovered area,Open Area,1835,Eshkol,South,307644.00,49.11,33.31,49.1227665,33.3131405,14.73682995,9.99394215,1,1.04,2000,2,1.2308,1.280032,0.049232,4.76559606,3.48556406
382,אזור בשור מא 38,12.10,vegetables,general vegetables,Vegetables & field crops in uncovered area,Open Area,1825,Eshkol,South,12148.80,1.93,1.31,1.9211775,1.3028675,0.57635325,0.39086025,1,1.1,2000,5,0.121,0.1331,0.0121,0.2362041,0.1031041
440,אזור בשור מא 38,376.30,non-processed,non-processed,Not cultivated,Open Area,1825,Eshkol,South,376302.00,59.75,40.52,59.7470325,40.5181025,17.92410975,12.15543075,1,1,0,0,0,0,0,4.8621723,4.8621723
139,אזור בשור מא 38,23.80,citrus,orange-like,Citrus,Open Area,1825,Eshkol,South,23772.60,3.77,2.56,3.778845,2.562665,1.1336535,0.7687995,1,1.03,4000,4,0.3808,0.392224,0.011424,0.5428542,0.1506302
27,אזור בשור מא 42,204.90,field crops,field crops general,Vegetables & field crops in uncovered area,Open Area,1815,Merhavim,South,204879.00,32.35,21.94,32.3547345,21.9417165,9.70642035,6.58251495,1,1.04,2000,2,0.8196,0.852384,0.032784,3.14443638,2.29205238
779,אזור בשור מא 42,44.30,non-processed,non-processed,Not cultivated,Open Area,1805,Merhavim,South,44283.80,6.95,4.72,6.9566505,4.7177285,2.08699515,1.41531855,1,1,0,0,0,0,0,0.56612742,0.56612742
371,אזור בשור מא 42,14.00,citrus,peelables,Citrus,Open Area,1815,Merhavim,South,13996.30,2.21,1.5,2.21067,1.49919,0.663201,0.449757,1,1.03,4000,6,0.336,0.34608,0.01008,0.3875508,0.0414708
471,אזור בשור מא 42,28.10,citrus,peelables,Citrus,Open Area,1825,Merhavim,South,28056.80,4.45,3.02,4.4615775,3.0256675,1.33847325,0.90770025,1,1.03,4000,6,0.6744,0.694632,0.020232,0.7798593,0.0852273
535,אזור גרר מא 39,157.30,field crops,field crops general,Vegetables & field crops in uncovered area,Open Area,1815,Sdot Negev,South,157274.00,24.83,16.84,24.8384565,16.8444705,7.45153695,5.05334115,1,1.04,2000,2,0.6292,0.654368,0.025168,2.41395726,1.75958926
392,אזור גרר מא 41,9.80,field crops,field crops general,Vegetables & field crops in uncovered area,Open Area,1805,Bnei Shim'on,South,9819.29,1.54,1.05,1.538943,1.043651,0.4616829,0.3130953,1,1.04,2000,2,0.0392,0.040768,0.001568,0.14969892,0.10893092
789,אזור גרר מא 41,248.50,vegetables,general vegetables,Vegetables & field crops in uncovered area,Open Area,1815,Bnei Shim'on,South,248459.00,39.23,26.61,39.2393925,26.6106225,11.77181775,7.98318675,1,1.1,2000,5,2.485,2.7335,0.2485,4.8333747,2.0998747
892,אזור חיפה שלש,16.02,plantations,olives,Plantations,Open Area,1735,No Jurisdiction - Mount Carmel Area,Haifa,16017.40,2.42,1.64,2.417646609,1.639553448,0.725293983,0.491866034,1,1,1000,8,0.128133909,0.128133909,0,0.273626759,0.14549285
662,אזור יחיעם מא 4,43.10,plantations,olives,Plantations,Open Area,1715,Ma'te Asher,North,43067.30,6.43,4.36,6.4307355,4.3610735,1.92922065,1.30832205,1,1,1000,8,0.3448,0.3448,0,0.73020882,0.38540882
664,אזור יחיעם מא 4,2.40,plantations,olives,Plantations,Open Area,1695,No Jurisdiction - Mi'ilya Area,North,2403.50,0.35,0.24,0.353916,0.240012,0.1061748,0.0720036,1,1,1000,8,0.0192,0.0192,0,0.04032144,0.02112144
106,אזור יחיעם מא 4,0.80,plantations,subtropical,Plantations,Open Area,1705,Ma'te Asher,North,783.28,0.12,0.08,0.118668,0.080476,0.0356004,0.0241428,1,1,1000,5,0.004,0.004,0,0.01205712,0.00805712
746,אזור יחיעם מא 56,57.90,plantations,olives,Plantations,Open Area,1725,Misgav,North,57903.90,8.69,5.89,8.689554741,5.892916433,2.606866422,1.76787493,1,1,1000,8,0.463211314,0.463211314,0,0.98507676,0.521865446
42,אזור יחיעם שלש,7.80,plantations,olives,Plantations,Open Area,1755,No Jurisdiction - Mount Meiron Area,North,7849.84,1.20,0.81,1.190943,0.807651,0.3572829,0.2422953,1,1,1000,8,0.0624,0.0624,0,0.13435812,0.07195812
71,אזור יחיעם שלש,3.66,plantations,olives,Plantations,Open Area,1695,No Jurisdiction - Mi'ilya Area,North,3660.10,0.54,0.37,0.539714182,0.366013066,0.161914255,0.10980392,1,1,1000,8,0.029279581,0.029279581,0,0.061489317,0.032209735
122,אזור יחיעם שלש,7.10,plantations,olives,Plantations,Open Area,1795,No Jurisdiction - Mount Meiron Area,North,7135.17,1.11,0.76,1.1087715,0.7519255,0.33263145,0.22557765,1,1,1000,8,0.0568,0.0568,0,0.12431106,0.06751106
244,אזור יחיעם שלש,4.80,plantations,olives,Plantations,Open Area,1715,Misgav,North,4802.66,0.72,0.49,0.716550154,0.485936311,0.214965046,0.145780893,1,1,1000,8,0.038419632,0.038419632,0,0.081364137,0.042944504
333,אזור יחיעם שלש,7.40,plantations,olives,Plantations,Open Area,1755,No Jurisdiction - Mount Meiron Area,North,7527.66,1.15,0.78,1.129869,0.766233,0.3389607,0.2298699,1,1,1000,8,0.0592,0.0592,0,0.12746796,0.06826796
341,אזור יחיעם שלש,4.93,plantations,olives,Plantations,Open Area,1685,No Jurisdiction - Mi'ilya Area,North,4931.70,0.72,0.49,0.722931917,0.490264174,0.216879575,0.147079252,1,1,1000,8,0.039451928,0.039451928,0,0.082502857,0.04305093
464,אזור יחיעם שלש,15.20,plantations,olives,Plantations,Open Area,1695,No Jurisdiction - Mi'ilya Area,North,15152.30,2.23,1.52,2.241468,1.520076,0.6724404,0.4560228,1,1,1000,8,0.1216,0.1216,0,0.25536912,0.13376912
682,אזור יחיעם שלש,1.12,plantations,olives,Plantations,Open Area,1735,Hurfeish,North,1120.39,0.17,0.11,0.169110974,0.114684454,0.050733292,0.034405336,1,1,1000,8,0.008962786,0.008962786,0,0.019139806,0.01017702
726,אזור יחיעם שלש,2.50,plantations,olives,Plantations,Open Area,1745,No Jurisdiction - Mount Meiron Area,North,2484.18,0.38,0.26,0.3795375,0.2573875,0.11386125,0.07721625,1,1,1000,8,0.02,0.02,0,0.0428865,0.0228865
899,אזור יחיעם שלש,4.50,plantations,olives,Plantations,Open Area,1775,No Jurisdiction - Mount Meiron Area,North,4453.65,0.69,0.47,0.6949125,0.4712625,0.20847375,0.14137875,1,1,1000,8,0.036,0.036,0,0.0781515,0.0421515
916,אזור יחיעם שלש,1.10,plantations,olives,Plantations,Open Area,1695,No Jurisdiction - Mi'ilya Area,North,1135.37,0.17,0.11,0.1622115,0.1100055,0.04866345,0.03300165,1,1,1000,8,0.0088,0.0088,0,0.01848066,0.00968066
1000,אזור יחיעם שלש,1.90,plantations,olives,Plantations,Open Area,1775,No Jurisdiction - Mount Meiron Area,North,1882.48,0.29,0.2,0.2934075,0.1989775,0.08802225,0.05969325,1,1,1000,8,0.0152,0.0152,0,0.0329973,0.0177973
89,אזור יחיעם שלש,4.30,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1785,No Jurisdiction - Mount Meiron Area,North,4330.22,0.67,0.46,0.6677685,0.4528545,0.20033055,0.13585635,1,1,2000,5,0.043,0.043,0,0.08014254,0.03714254
452,אזור יחיעם שלש,2.50,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1765,No Jurisdiction - Mount Meiron Area,North,2460.11,0.38,0.26,0.3838875,0.2603375,0.11516625,0.07810125,1,1,2000,5,0.025,0.025,0,0.0462405,0.0212405
98,אזור כרמיאל שלש,2.30,plantations,olives,Plantations,Open Area,1765,No Jurisdiction - Hanania Junction Area,North,2338.28,0.36,0.24,0.3531765,0.2395105,0.10595295,0.07185315,1,1,1000,8,0.0184,0.0184,0,0.03978126,0.02138126
133,אזור כרמיאל שלש,9.65,plantations,olives,Plantations,Open Area,1765,No Jurisdiction - Hanania Junction Area,North,9650.51,1.48,1,1.481830844,1.004919768,0.444549253,0.30147593,1,1,1000,8,0.077201307,0.077201307,0,0.166911157,0.089709849
261,אזור כרמיאל שלש,1.00,plantations,olives,Plantations,Open Area,1765,No Jurisdiction - Hanania Junction Area,North,980.37,0.15,0.1,0.153555,0.104135,0.0460665,0.0312405,1,1,1000,8,0.008,0.008,0,0.0172962,0.0092962
350,אזור כרמיאל שלש,3.20,plantations,olives,Plantations,Open Area,1765,No Jurisdiction - Hanania Junction Area,North,3196.94,0.49,0.33,0.490888202,0.332901194,0.147266461,0.099870358,1,1,1000,8,0.025574586,0.025574586,0,0.055292895,0.029718309
793,אזור כרמיאל שלש,5.41,plantations,olives,Plantations,Open Area,1775,No Jurisdiction - Hanania Junction Area,North,5408.31,0.84,0.57,0.835148658,0.566365182,0.250544597,0.169909554,1,1,1000,8,0.043264946,0.043264946,0,0.093922789,0.050657843
861,אזור כרמיאל שלש,2.21,plantations,olives,Plantations,Open Area,1765,No Jurisdiction - Hanania Junction Area,North,2205.25,0.34,0.23,0.338615441,0.229635759,0.101584632,0.068890728,1,1,1000,8,0.017641389,0.017641389,0,0.038141125,0.020499735
965,אזור מודיעין מא 2,9.96,plantations,general plantation,Plantations,Open Area,1745,No Jurisdiction - Bik'at Beit Netofa Area,North,9962.09,1.51,1.03,1.512333746,1.025605644,0.453700124,0.307681693,1,1,1000,5,0.049808443,0.049808443,0,0.152957743,0.1031493
